table,yellow,type,angaza,upya,upya_uganda,update_on,zoho,pk
all,external_sys,TEXT,external_sys,external_sys,external_sys,,1,
all,organization,TEXT,organization,organization,organization,,1,
all,country,TEXT,country,country,country,,1,
all,zoho_id,BIGINT,,,,,1,
accounts,account_id,INT,,,,,1,1
accounts,account_external_id,TEXT,angaza_id,contractNumber,contractNumber,1,1,
accounts,unit_number,TEXT,account_number,paygNumber,paygNumber,,1,
accounts,previous_unit_number,TEXT,previous_account_number,prevPaygNumber,prevPaygNumber,,1,
accounts,asset_number,TEXT,account_number,unitSerialNumber,unitSerialNumber,,1,
accounts,linked_account_external_id,TEXT,,linkedTo.contractNumber,linkedTo.contractNumber,,1,
accounts,date_of_replacement_utc,TIMESTAMPTZ,,lastReplacementDate,lastReplacementDate,,1,
accounts,date_of_repossession_utc,TIMESTAMPTZ,date_of_repossession_utc,repossessed.date,repossessed.date,,1,
accounts,product,TEXT,products,product.name,product.name,,1,
accounts,pricing_group,TEXT,group_name,dealName,dealName,,1,
accounts,pricing_group_type,TEXT,,,,,,
accounts,registration_location,GEOGRAPHY,registration_location_latitudelongitude,,,,1,
accounts,account_status,TEXT,account_status,status,status,,1,
accounts,account_type,TEXT,,type,type,,1,
accounts,registration_date_utc,TIMESTAMPTZ,registration_date_utc,signingDate,signingDate,,1,
accounts,registering_user_id,INT,,,,,1,
accounts,registering_user,TEXT,registering_user,,,,1,
accounts,registering_user_external_id,TEXT,registering_user_angaza_id,recorder,recorder,,1,
accounts,lockable,BOOLEAN,,lockable,lockable,,,
accounts,backpay,TEXT,,,,,1,
accounts,upfront_price,DECIMAL,upfront_price,pricingSchedule.upfrontPayment,pricingSchedule.upfrontPayment,,1,
accounts,upfront_days_included,DECIMAL,upfront_days_included,pricingSchedule.upfrontDays,pricingSchedule.upfrontDays,,1,
accounts,unlock_price,DECIMAL,unlock_price,totalCost,totalCost,,1,
accounts,minimum_payment_amount,DECIMAL,minimum_payment_amount,pricingSchedule.minPayment,pricingSchedule.minPayment,,1,
accounts,days_per_recurring_amount,INT,,pricingSchedule.freq,pricingSchedule.freq,,1,
accounts,recurring_amount,DECIMAL,,pricingSchedule.recurrentPayment,pricingSchedule.recurrentPayment,,1,
accounts,total_paid,DECIMAL,total_paid,totalPaid,totalPaid,,1,
accounts,outstanding_amount,DECIMAL,,remainingDebt,remainingDebt,,1,
accounts,hour_price,DECIMAL,hour_price,,,,1,
accounts,currency,TEXT,,ccy,ccy,,1,
accounts,date_of_latest_payment_utc,TIMESTAMPTZ,date_of_latest_payment_utc,lastStatusUpdate,lastStatusUpdate,,1,
accounts,date_of_disablement_utc,TIMESTAMPTZ,date_of_disablement_utc,nextStatusUpdate,nextStatusUpdate,,1,
accounts,number_of_payments,INT,number_of_payments,,,,1,
accounts,cumulative_bonus_days,DECIMAL,,,,,,
accounts,cumulative_activation_days,DECIMAL,,totalDaysActivated,totalDaysActivated,,1,
accounts,responsible_user_id,INT,,,,,1,
accounts,responsible_user_external_id,TEXT,responsible_user_angaza_id,respAgent,respAgent,,1,
accounts,responsible_user,TEXT,responsible_user,,,,1,
accounts,responsible_user_since_utc,TIMESTAMPTZ,responsible_user_since,transferToCurrentAgentDate,transferToCurrentAgentDate,,1,
accounts,client_id,INT,,,,,,
accounts,client_external_id,TEXT,client_angaza_id,client.clientNumber,client.clientNumber,,1,
accounts,application_id,TEXT,,,,,,
accounts,application_external_id,TEXT,,contractNumber,contractNumber,,1,
accounts,owner_phone_number,BIGINT,owner_msisdn,client.contact.fullNumber,client.contact.fullNumber,,1,
accounts,owner_name,TEXT,owner_name,client.profile.firstName+client.profile.lastName,client.profile.firstName+client.profile.lastName,,1,
accounts,client_location,GEOGRAPHY,,,,,,
accounts,date_of_write_off_utc,TIMESTAMPTZ,date_of_write-off,writtenOff.date,writtenOff.date,,1,
accounts,date_of_application_utc,TIMESTAMPTZ,,,,,1,
accounts,date_of_approval_utc,TIMESTAMPTZ,,,,,1,
accounts,client_photo,TEXT,client_photo,client.pictureTag,client.pictureTag,,1,
accounts,contract_photo,TEXT,photo_of_contract,pictureTag,pictureTag,,1,
accounts,replaced_by,TEXT,,ReplacedBy,ReplacedBy,,,
accounts,terminated_by,TEXT,,TerminatedBy,TerminatedBy,,,
accounts,written_off_by,TEXT,,,,,,
accounts,repossessed_by,TEXT,,,,,,
users,user_id,INT,,,,,1,1
users,user_angaza_id,TEXT,angaza_id,,,,1,
users,user_upya_id,TEXT,,agentNumber,agentNumber,,1,
users,username,TEXT,username,email,email,,1,
users,user_yellow_id,INT,,,,,1,
users,full_name,TEXT,first_name+last_name,profile.firstName+profile.lastName,profile.firstName+profile.lastName,,1,
users,first_name,TEXT,first_name,profile.firstName,profile.firstName,,1,
users,last_name,TEXT,last_name,profile.lastName,profile.lastName,,1,
users,user_email,TEXT,email,email,email,1,1,
users,user_phone_number,BIGINT,primary_phone,countryCode|contact.mobile,countryCode|contact.mobile,,1,
users,user_photo,TEXT,user_photo,,,,1,
users,user_role,TEXT,role,role,role,,1,
users,user_country,TEXT,,,,,1,
users,created_utc,TIMESTAMPTZ,created_utc,,,,1,
users,assigned_pricing_groups,TEXT,assigned_pricing_groups,,,,1,
users,stock,INT,stock,assets,assets,,1,
payments,payment_id,INT,,,,,1,1
payments,payment_external_id,TEXT,angaza_id,transactionId,transactionId,1,1,
payments,payment_status,TEXT,,status,status,,1,
payments,payment_reference,TEXT,,paymentReference,paymentReference,,1,
payments,effective_utc,TIMESTAMPTZ,effective_utc,date,date,,1,
payments,recorded_utc,TIMESTAMPTZ,recorded_utc,date,date,,1,
payments,unit_number,TEXT,account_number,,,,1,
payments,account_id,INT,,,,,1,
payments,account_external_id,TEXT,account_angaza_id,contractNumber,contractNumber,,1,
payments,pricing_group,TEXT,group_name,,,,1,
payments,amount,DECIMAL,amount,amount,amount,,1,
payments,currency,TEXT,,ccy,ccy,,1,
payments,payment_type,TEXT,type,type,type,,1,
payments,phone,BIGINT,phone,mobile,mobile,,1,
payments,reversal_id,INT,,,,,,
payments,reversal_external_id,TEXT,reversal,,,,1,
payments,reversal_recorder,TEXT,recorder,,,,,
payments,reversal_recorder_id,INT,,,,,,
payments,reversal_recorder_ext_id,TEXT,recorder_angaza_id,,,,,
payments,provider_transaction_id,TEXT,provider_transaction,transactionId,transactionId,,1,
payments,down_payment_ind,BOOLEAN,down_payment,,,,,
payments,responsible_user,TEXT,,,,,1,
payments,responsible_user_id,INT,,,,,1,
payments,responsible_user_ext_id,TEXT,,,,,1,
payments,payment_note,TEXT,payment_note,note,note,,1,
payments,reversal_note,TEXT,reversal_note,,,,,
payments,reassigned_user_id,INT,,,,,,
payments,reassigned_user_external_id,TEXT,,,,,,
payments,reassigned_utc,TIMESTAMPTZ,,,,,,
payments,payment_code,TEXT,,paymentCode,paymentCode,,1,
stock,stock_id,INT,,,,,1,1
stock,stock_external_id,TEXT,angaza_id,serialNumber,serialNumber,1,1,
stock,transit_state,TEXT,transit_state,status,status,,1,
stock,in_stock,BOOLEAN,,inStock.status,inStock.status,,,
stock,account_id,INT,,,,,1,
stock,unit_number,TEXT,unit_number,paygNumber,paygNumber,,1,
stock,asset_number,TEXT,unit_number,serialNumber,serialNumber,,1,
stock,product,TEXT,product_name,productDetails.name,productDetails.name,,1,
stock,batch,TEXT,,batchnumber,batchnumber,,,
stock,holder,TEXT,holder,heldBy.profile.firstName+heldBy.profile.lastName,heldBy.profile.firstName+heldBy.profile.lastName,,1,
stock,holder_external_id,TEXT,holder_angaza_id,heldBy.agentNumber,heldBy.agentNumber,,1,
stock,holder_id,INT,,,,,1,
stock,date_added_utc,TIMESTAMPTZ,date_added_utc,dateAdded,dateAdded,,1,
stock,date_instock_utc,TIMESTAMPTZ,,inStock.date,inStock.date,,,
stock,date_replaced_utc,TIMESTAMPTZ,,defect.date,defect.date,,,
stock,replacement_asset_number,TEXT,,,,,,
stock,held_since_utc,TIMESTAMPTZ,held_since_utc,lastUpdate,lastUpdate,,1,
stock,date_distributed_utc,TIMESTAMPTZ,,,,,,
replacements,replacement_id ,INT,,,,,1,1
replacements,replacement_external_id,TEXT,angaza_id,,,1,1,
replacements,account_id,INT,,,,,1,
replacements,old_stock_id,INT,,,,,1,
replacements,old_unit_number,TEXT,old_unit_number,,,,1,
replacements,old_asset_number,TEXT,old_unit_number,,,,1,
replacements,new_stock_id,INT,,,,,1,
replacements,new_unit_number,TEXT,new_unit_number,,,,1,
replacements,new_asset_number,TEXT,new_unit_number,,,,1,
replacements,replacement_date_utc,TIMESTAMPTZ,replacement_date_utc,,,,1,
replacements,product,TEXT,product_name,,,,1,
replacements,source_of_replacement,TEXT,source_of_replacement,,,,1,
replacements,note,TEXT,note,,,,1,
replacements,responsible_user,TEXT,responsible_user,,,,1,
replacements,responsible_user_id,INT,,,,,1,
replacements,responsible_user_ext_id,TEXT,responsible_user_angaza_id,,,,1,
replacements,acc_responsible_user,TEXT,account_responsible_agent,,,,1,
replacements,acc_responsible_user_id,INT,,,,,1,
replacements,acc_responsible_user_ext_id,TEXT,account_responsible_agent_angaza_id,,,,1,
applications,application_id,INT,,,,,1,1
applications,application_external_id,TEXT,angaza_id,contractNumber,contractNumber,1,1,
applications,submitted_utc,TIMESTAMPTZ,submitted_utc,submissionDate,submissionDate,,1,
applications,created_utc,TIMESTAMPTZ,created_utc,entryDate,entryDate,,1,
applications,pricing_group,TEXT,pricing_group,dealName,dealName,,1,
applications,status,TEXT,status,onboardingStatus,onboardingStatus,,1,
applications,account_id,INT,,,,,,
applications,account_external_id,TEXT,registered_account_angaza_id,,,,1,
applications,account_status,TEXT,,,,,,
applications,unit_number,TEXT,registered_account_number,,,,1,
applications,recorder_id,INT,,,,,1,
applications,recorder,TEXT,recorder,,,,1,
applications,recorder_ext_id,TEXT,recorder_angaza_id,respAgent,respAgent,,1,
applications,note_recorded_utc,TIMESTAMPTZ,note_recorded_utc,creditDecisionDate,creditDecisionDate,,1,
applications,note_recorder,TEXT,note_recorder,,,,1,
applications,note_recorder_id,INT,,,,,1,
applications,note_recorder_external_id,TEXT,note_recorder_angaza_id,creditDecisionUserId,creditDecisionUserId,,1,
applications,responsible_user_id,INT,,,,,1,
applications,responsible_user,TEXT,responsible_user,,,,1,
applications,responsible_user_ext_id,TEXT,responsible_user_angaza_id,respAgent,respAgent,,1,
applications,client_external_id,TEXT,,client.clientNumber,client.clientNumber,,1,
applications,client_name,TEXT,prospect_name,client.profile.firstName+client.profile.lastName,client.profile.firstName+client.profile.lastName,,1,
applications,client_phone_number,BIGINT,phone,client.contact.fullNumber,client.contact.fullNumber,,1,
